TV,Newspaper,Sales_success
230.1,69.2,1.0
44.5,45.1,0.0
17.2,69.3,0.0
151.5,58.5,1.0
180.8,58.4,0.0
8.7,75.0,0.0
57.5,23.5,0.0
120.2,11.6,0.0
8.6,1.0,0.0
199.8,21.2,0.0
66.1,24.2,0.0
214.7,4.0,1.0
23.8,65.9,0.0
97.5,7.2,0.0
204.1,46.0,1.0
195.4,52.9,1.0
67.8,114.0,0.0
281.4,55.8,1.0
69.2,18.3,0.0
147.3,19.1,1.0
218.4,53.4,1.0
237.4,23.5,0.0
13.2,49.6,0.0
228.3,26.2,1.0
62.3,18.3,0.0
262.9,19.5,0.0
142.9,12.6,1.0
240.1,22.9,1.0
248.8,22.9,1.0
70.6,40.8,0.0
292.9,43.2,1.0
112.9,38.6,0.0
97.2,30.0,0.0
265.6,0.3,1.0
95.7,7.4,0.0
290.7,8.5,0.0
266.9,5.0,1.0
74.7,45.7,1.0
43.1,35.1,0.0
228.0,32.0,1.0
202.5,31.6,1.0
177.0,38.7,1.0
293.6,1.8,1.0
206.9,26.4,0.0
25.1,43.3,0.0
175.1,31.5,1.0
89.7,35.7,0.0
239.9,18.5,1.0
227.2,49.9,1.0
66.9,36.8,0.0
199.8,34.6,0.0
100.4,3.6,0.0
216.4,39.6,1.0
182.6,58.7,1.0
262.7,15.9,1.0
198.9,60.0,1.0
7.3,41.4,0.0
136.2,16.6,0.0
210.8,37.7,1.0
210.7,9.3,1.0
53.5,21.4,0.0
261.3,54.7,1.0
239.3,27.3,1.0
102.7,8.4,1.0
131.1,28.9,1.0
69.0,0.9,0.0
31.5,2.2,0.0
139.3,10.2,0.0
237.4,11.0,1.0
216.8,27.2,1.0
199.1,38.7,1.0
109.8,31.7,0.0
26.8,19.3,0.0
129.4,31.3,0.0
213.4,13.1,1.0
16.9,89.4,0.0
27.5,20.7,0.0
120.5,14.2,1.0
5.4,9.4,0.0
116.0,23.1,0.0
76.4,22.3,0.0
239.8,36.9,0.0
75.3,32.5,0.0
68.4,35.6,0.0
213.5,33.8,1.0
193.2,65.7,1.0
76.3,16.0,0.0
110.7,63.2,1.0
88.3,73.4,0.0
109.8,51.4,1.0
134.3,9.3,0.0
28.6,33.0,0.0
217.7,59.0,1.0
250.9,72.3,1.0
107.4,10.9,0.0
163.3,52.9,1.0
197.6,5.9,0.0
184.9,22.0,1.0
289.7,51.2,1.0
135.2,45.9,1.0
222.4,49.8,0.0
296.4,100.9,1.0
280.2,21.4,1.0
187.9,17.9,1.0
238.2,5.3,1.0
137.9,59.0,1.0
25.0,29.7,0.0
90.4,23.2,0.0
13.1,25.6,0.0
255.4,5.5,1.0
225.8,56.5,0.0
241.7,23.2,1.0
175.7,2.4,1.0
209.6,10.7,1.0
78.2,34.5,1.0
75.1,52.7,0.0
139.2,25.6,0.0
76.4,14.8,0.0
125.7,79.2,1.0
19.4,22.3,0.0
141.3,46.2,1.0
18.8,50.4,0.0
224.0,15.6,0.0
123.1,12.4,1.0
229.5,74.2,1.0
87.2,25.9,0.0
7.8,50.6,0.0
80.2,9.2,0.0
220.3,3.2,1.0
59.6,43.1,0.0
0.7,8.7,0.0
265.2,43.0,0.0
8.4,2.1,0.0
219.8,45.1,1.0
36.9,65.6,0.0
48.3,8.5,0.0
25.6,9.3,0.0
273.7,59.7,1.0
43.0,20.5,0.0
184.9,1.7,1.0
73.4,12.9,0.0
193.7,75.6,1.0
220.5,37.9,1.0
104.6,34.4,0.0
96.2,38.9,0.0
140.3,9.0,0.0
240.1,8.7,0.0
243.2,44.3,1.0
38.0,11.9,0.0
44.7,20.6,0.0
280.7,37.0,1.0
121.0,48.7,0.0
197.6,14.2,1.0
171.3,37.7,1.0
187.8,9.5,1.0
4.1,5.7,0.0
93.9,50.5,1.0
149.8,24.3,0.0
11.7,45.2,0.0
131.7,34.6,0.0
172.5,30.7,1.0
85.7,49.3,0.0
188.4,25.6,1.0
163.5,7.4,1.0
117.2,5.4,0.0
234.5,84.8,0.0
17.9,21.6,0.0
206.8,19.4,0.0
215.4,57.6,1.0
284.3,6.4,1.0
50.0,18.4,0.0
164.5,47.4,1.0
19.6,17.0,0.0
168.4,12.8,0.0
222.4,13.1,0.0
276.9,41.8,1.0
248.4,20.3,1.0
170.2,35.2,0.0
276.7,23.7,0.0
165.6,17.6,0.0
156.6,8.3,0.0
218.5,27.4,0.0
56.2,29.7,0.0
287.6,71.8,1.0
253.8,30.0,1.0
205.0,19.6,1.0
139.5,26.6,0.0
191.1,18.2,1.0
286.0,3.7,1.0
18.7,23.4,0.0
39.5,5.8,0.0
75.5,6.0,0.0
17.2,31.6,0.0
166.8,3.6,1.0
149.7,6.0,1.0
38.2,13.8,0.0
94.2,8.1,0.0
177.0,6.4,0.0
283.6,66.2,1.0
232.1,8.7,0.0
